2026-06-29 14:29:13,498 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-ADAPTIVE | subtask=1 | min=237ms | max=4525ms | avg=2315.86ms | windowEvents=92 | totalEvents=93
2026-06-29 14:29:13,498 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-ADAPTIVE | subtask=0 | min=237ms | max=4711ms | avg=2103.22ms | windowEvents=73 | totalEvents=74
2026-06-29 14:29:13,560 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM15 | subtask=0 | min=214ms | max=354ms | avg=280.43ms | windowEvents=30 | totalEvents=61
2026-06-29 14:29:13,565 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-ADAPTIVE | subtask=0 | min=147ms | max=301ms | avg=218.77ms | windowEvents=30 | totalEvents=61
2026-06-29 14:29:13,901 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM100 | subtask=0 | min=517ms | max=5112ms | avg=2411.29ms | windowEvents=73 | totalEvents=74
2026-06-29 14:29:13,901 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM100 | subtask=1 | min=517ms | max=4925ms | avg=2617.64ms | windowEvents=92 | totalEvents=93
2026-06-29 14:29:13,963 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM100 | subtask=0 | min=445ms | max=699ms | avg=549.63ms | windowEvents=30 | totalEvents=61
2026-06-29 14:29:17,089 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=1 | min=337ms | max=653ms | avg=465.04ms | windowEvents=45 | totalEvents=143
2026-06-29 14:29:17,089 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=0 | min=343ms | max=751ms | avg=480.56ms | windowEvents=50 | totalEvents=163
2026-06-29 14:29:17,096 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=1 | min=49ms | max=266ms | avg=150.71ms | windowEvents=45 | totalEvents=145
2026-06-29 14:29:17,096 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=0 | min=49ms | max=360ms | avg=162.20ms | windowEvents=50 | totalEvents=165
2026-06-29 14:29:17,159 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=0 | min=44ms | max=524ms | avg=188.16ms | windowEvents=50 | totalEvents=165
2026-06-29 14:29:17,159 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=1 | min=44ms | max=270ms | avg=180.29ms | windowEvents=45 | totalEvents=145
2026-06-29 14:29:17,380 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=0 | min=148ms | max=356ms | avg=228.64ms | windowEvents=100 | totalEvents=266
2026-06-29 14:29:17,380 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=0 | min=165ms | max=396ms | avg=266.56ms | windowEvents=108 | totalEvents=266
2026-06-29 14:29:17,563 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=0 | min=414ms | max=643ms | avg=540.86ms | windowEvents=108 | totalEvents=266
2026-06-29 14:29:17,580 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=1 | min=122ms | max=387ms | avg=240.61ms | windowEvents=44 | totalEvents=182
2026-06-29 14:29:17,780 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=1 | min=290ms | max=417ms | avg=341.91ms | windowEvents=44 | totalEvents=182
2026-06-29 14:29:17,964 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=1 | min=474ms | max=601ms | avg=528.75ms | windowEvents=44 | totalEvents=182
