window_start,window_end,airline,num_flights,completed,cancelled,diverted,dep_delay_mean,cancellation_rate,late_departure_rate
2025-04-29T17:00:00Z,2025-04-29T18:00:00Z,DL,176,176,0,0,1.19,0.0000,11.3636
2025-04-29T17:00:00Z,2025-04-29T18:00:00Z,UA,127,127,0,0,8.09,0.0000,14.9606
2025-04-29T17:00:00Z,2025-04-29T18:00:00Z,WN,248,247,1,0,10.52,0.4032,21.8623
2025-04-29T18:00:00Z,2025-04-29T19:00:00Z,AA,160,160,0,0,3.10,0.0000,11.8750
2025-04-29T18:00:00Z,2025-04-29T19:00:00Z,DL,166,166,0,0,3.62,0.0000,13.8554
2025-04-29T18:00:00Z,2025-04-29T19:00:00Z,UA,118,118,0,0,9.38,0.0000,17.7966
2025-04-29T18:00:00Z,2025-04-29T19:00:00Z,WN,253,253,0,0,3.31,0.0000,13.0435
2025-04-29T19:00:00Z,2025-04-29T20:00:00Z,AA,152,152,0,0,10.84,0.0000,13.8158
2025-04-29T19:00:00Z,2025-04-29T20:00:00Z,DL,129,129,0,0,-0.19,0.0000,12.4031
2025-04-29T19:00:00Z,2025-04-29T20:00:00Z,UA,128,127,0,1,9.99,0.0000,21.8750
2025-04-29T19:00:00Z,2025-04-29T20:00:00Z,WN,245,245,0,0,11.22,0.0000,22.4490
2025-04-29T20:00:00Z,2025-04-29T21:00:00Z,AA,132,130,0,2,3.45,0.0000,13.6364
2025-04-29T20:00:00Z,2025-04-29T21:00:00Z,DL,96,96,0,0,-1.85,0.0000,8.3333
2025-04-29T20:00:00Z,2025-04-29T21:00:00Z,UA,76,76,0,0,11.64,0.0000,23.6842
2025-04-29T20:00:00Z,2025-04-29T21:00:00Z,WN,191,191,0,0,3.48,0.0000,15.7068
2025-04-29T21:00:00Z,2025-04-29T22:00:00Z,AA,82,81,1,0,4.16,1.2195,13.5802
2025-04-29T21:00:00Z,2025-04-29T22:00:00Z,DL,81,81,0,0,0.42,0.0000,7.4074
2025-04-29T21:00:00Z,2025-04-29T22:00:00Z,UA,38,38,0,0,-0.24,0.0000,10.5263
2025-04-29T21:00:00Z,2025-04-29T22:00:00Z,WN,95,95,0,0,2.87,0.0000,14.7368
2025-04-29T22:00:00Z,2025-04-29T23:00:00Z,AA,103,103,0,0,2.97,0.0000,16.5049
2025-04-29T22:00:00Z,2025-04-29T23:00:00Z,DL,107,107,0,0,-0.72,0.0000,8.4112
2025-04-29T22:00:00Z,2025-04-29T23:00:00Z,UA,33,33,0,0,2.88,0.0000,18.1818
2025-04-29T22:00:00Z,2025-04-29T23:00:00Z,WN,7,7,0,0,-0.57,0.0000,0.0000
2025-04-29T23:00:00Z,2025-04-30T00:00:00Z,AA,31,31,0,0,-5.32,0.0000,0.0000
2025-04-29T23:00:00Z,2025-04-30T00:00:00Z,DL,29,29,0,0,-3.59,0.0000,6.8966
2025-04-29T23:00:00Z,2025-04-30T00:00:00Z,UA,31,31,0,0,4.77,0.0000,12.9032
2025-04-29T23:00:00Z,2025-04-30T00:00:00Z,WN,6,6,0,0,-1.83,0.0000,0.0000
2025-04-30T00:00:00Z,2025-04-30T01:00:00Z,AA,7,7,0,0,-0.86,0.0000,0.0000
2025-04-30T00:00:00Z,2025-04-30T01:00:00Z,DL,4,4,0,0,-6.75,0.0000,0.0000
2025-04-30T00:00:00Z,2025-04-30T01:00:00Z,UA,7,7,0,0,-2.29,0.0000,0.0000
2025-04-30T01:00:00Z,2025-04-30T02:00:00Z,AA,1,1,0,0,0.00,0.0000,0.0000
2025-04-30T01:00:00Z,2025-04-30T02:00:00Z,DL,2,2,0,0,24.50,0.0000,100.0000
2025-04-30T01:00:00Z,2025-04-30T02:00:00Z,UA,1,1,0,0,0.00,0.0000,0.0000
2025-04-30T05:00:00Z,2025-04-30T06:00:00Z,AA,109,102,2,5,-2.17,1.8349,9.3458
2025-04-30T05:00:00Z,2025-04-30T06:00:00Z,DL,76,76,0,0,23.41,0.0000,5.2632
2025-04-30T05:00:00Z,2025-04-30T06:00:00Z,UA,38,38,0,0,-2.53,0.0000,5.2632
2025-04-30T05:00:00Z,2025-04-30T06:00:00Z,WN,91,89,0,2,-2.76,0.0000,1.0989
2025-04-30T06:00:00Z,2025-04-30T07:00:00Z,AA,195,180,1,14,-3.00,0.5128,4.6392
2025-04-30T06:00:00Z,2025-04-30T07:00:00Z,DL,189,189,0,0,-2.59,0.0000,2.6455
2025-04-30T06:00:00Z,2025-04-30T07:00:00Z,UA,128,128,0,0,-1.22,0.0000,7.0313
2025-04-30T06:00:00Z,2025-04-30T07:00:00Z,WN,292,287,0,5,-1.74,0.0000,3.4247
2025-04-30T07:00:00Z,2025-04-30T08:00:00Z,AA,222,203,2,17,-0.44,0.9009,7.2727
2025-04-30T07:00:00Z,2025-04-30T08:00:00Z,DL,236,234,0,2,-1.71,0.0000,3.8136
2025-04-30T07:00:00Z,2025-04-30T08:00:00Z,UA,192,191,0,1,-1.85,0.0000,4.1667
2025-04-30T07:00:00Z,2025-04-30T08:00:00Z,WN,231,227,2,2,-0.04,0.8658,3.4934
2025-04-30T08:00:00Z,2025-04-30T09:00:00Z,AA,202,183,6,13,2.09,2.9703,9.6939
2025-04-30T08:00:00Z,2025-04-30T09:00:00Z,DL,195,192,0,3,-1.79,0.0000,4.1026
