window_type,scope,airline,hour,metric,wm15_mean,wm100_mean,adaptive_mean,abs_diff_wm100_minus_wm15,pct_diff_wm100_vs_wm15,abs_diff_adaptive_minus_wm15,pct_diff_adaptive_vs_wm15,wm15_non_null_values,wm100_non_null_values,adaptive_non_null_values
1day,airline_hour,AA,18,p90,59.277563,59.277563,59.277563,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,18,max,581.89916,581.89916,581.89916,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,19,min,-16.042017,-16.042017,-16.042017,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,19,p25,-4.958824,-4.958824,-4.958824,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,19,p50,2.72605,2.72605,2.72605,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,19,p75,25.127059,25.127059,25.127059,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,19,p90,66.652269,66.652269,66.652269,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,19,max,463.680672,463.680672,463.680672,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,20,min,-14.840336,-14.840336,-14.840336,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,20,p25,-4.151765,-4.151765,-4.151765,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,20,p50,2.013529,2.013529,2.013529,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,20,p75,19.892773,19.892773,19.892773,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,20,p90,54.66395,54.66395,54.66395,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,20,max,412.890756,412.890756,412.890756,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,21,min,-13.092437,-13.092437,-13.092437,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,21,p25,-4.132269,-4.132269,-4.132269,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,21,p50,2.115882,2.115882,2.115882,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,21,p75,20.613025,20.613025,20.613025,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,21,p90,56.427311,56.427311,56.427311,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,21,max,406.378151,406.378151,406.378151,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,22,min,-13.470588,-13.470588,-13.470588,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,22,p25,-5.298739,-5.298739,-5.298739,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,22,p50,-0.290084,-0.290084,-0.290084,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,22,p75,13.407227,13.407227,13.407227,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,22,p90,43.773277,43.773277,43.773277,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,22,max,408.428571,408.428571,408.428571,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,23,min,-12.210084,-12.210084,-12.210084,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,23,p25,-5.983193,-5.983193,-5.983193,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,23,p50,-1.715294,-1.715294,-1.715294,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,23,p75,8.87395,8.87395,8.87395,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,23,p90,32.932773,32.932773,32.932773,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,23,max,186.588235,186.588235,186.588235,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,0,min,-10.487395,-10.487395,-10.487395,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,0,p25,-7.714286,-7.714286,-7.714286,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,0,p50,-2.470588,-2.470588,-2.470588,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,0,p75,6.579832,6.579832,6.579832,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,0,p90,16.210084,16.210084,16.210084,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,0,max,16.210084,16.210084,16.210084,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,1,min,-8.576271,-8.576271,-8.576271,0.0,-0.0,0.0,-0.0,118,118,118
1day,airline_hour,DL,1,p25,-8.576271,-8.576271,-8.576271,0.0,-0.0,0.0,-0.0,118,118,118
1day,airline_hour,DL,1,p50,11.322034,11.322034,11.322034,0.0,0.0,0.0,0.0,118,118,118
1day,airline_hour,DL,1,p75,11.322034,11.322034,11.322034,0.0,0.0,0.0,0.0,118,118,118
1day,airline_hour,DL,1,p90,11.322034,11.322034,11.322034,0.0,0.0,0.0,0.0,118,118,118
1day,airline_hour,DL,1,max,11.322034,11.322034,11.322034,0.0,0.0,0.0,0.0,118,118,118
1day,airline_hour,DL,3,min,-3.333333,-3.333333,-3.333333,0.0,-0.0,0.0,-0.0,6,6,6
1day,airline_hour,DL,3,p25,-3.333333,-3.333333,-3.333333,0.0,-0.0,0.0,-0.0,6,6,6
1day,airline_hour,DL,3,p50,-3.333333,-3.333333,-3.333333,0.0,-0.0,0.0,-0.0,6,6,6
1day,airline_hour,DL,3,p75,-3.333333,-3.333333,-3.333333,0.0,-0.0,0.0,-0.0,6,6,6
1day,airline_hour,DL,3,p90,-3.333333,-3.333333,-3.333333,0.0,-0.0,0.0,-0.0,6,6,6
1day,airline_hour,DL,3,max,-3.333333,-3.333333,-3.333333,0.0,-0.0,0.0,-0.0,6,6,6
1day,airline_hour,DL,5,min,-15.773109,-15.773109,-15.773109,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,5,p25,-8.338739,-8.338739,-8.338739,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,5,p50,-5.17042,-5.17042,-5.17042,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,5,p75,-0.784454,-0.784454,-0.784454,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,5,p90,19.445378,19.445378,19.445378,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,5,max,311.97479,311.97479,311.97479,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,6,min,-17.336134,-17.336134,-17.336134,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,6,p25,-7.781765,-7.781765,-7.781765,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,6,p50,-4.599916,-4.599916,-4.599916,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,6,p75,0.109412,0.109412,0.109412,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,6,p90,15.65521,15.65521,15.65521,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,6,max,420.789916,420.789916,420.789916,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,7,min,-16.378151,-16.378151,-16.378151,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,7,p25,-6.760588,-6.760588,-6.760588,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,7,p50,-3.715294,-3.715294,-3.715294,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,7,p75,1.391261,1.391261,1.391261,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,7,p90,20.890252,20.890252,20.890252,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,7,max,406.991597,406.991597,406.991597,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,8,min,-15.361345,-15.361345,-15.361345,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,8,p25,-6.280672,-6.280672,-6.280672,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,8,p50,-3.148403,-3.148403,-3.148403,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,8,p75,4.556807,4.556807,4.556807,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,8,p90,23.668571,23.668571,23.668571,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,8,max,312.042017,312.042017,312.042017,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,9,min,-15.092437,-15.092437,-15.092437,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,9,p25,-6.022941,-6.022941,-6.022941,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,9,p50,-2.618908,-2.618908,-2.618908,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,9,p75,6.277227,6.277227,6.277227,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,9,p90,28.928487,28.928487,28.928487,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,9,max,265.109244,265.109244,265.109244,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,10,min,-16.630252,-16.630252,-16.630252,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,10,p25,-6.323613,-6.323613,-6.323613,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,10,p50,-2.041429,-2.041429,-2.041429,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,10,p75,8.102437,8.102437,8.102437,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,10,p90,31.161933,31.161933,31.161933,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,10,max,259.109244,259.109244,259.109244,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,11,min,-16.084034,-16.084034,-16.084034,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,11,p25,-5.761345,-5.761345,-5.761345,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,11,p50,-1.18563,-1.18563,-1.18563,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,11,p75,10.846387,10.846387,10.846387,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,11,p90,35.806723,35.806723,35.806723,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,11,max,335.201681,335.201681,335.201681,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,12,min,-16.428571,-16.428571,-16.428571,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,12,p25,-5.863697,-5.863697,-5.863697,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,12,p50,-0.808824,-0.808824,-0.808824,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,12,p75,12.270504,12.270504,12.270504,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,12,p90,40.088824,40.088824,40.088824,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,12,max,355.781513,355.781513,355.781513,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,13,min,-16.588235,-16.588235,-16.588235,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,13,p25,-6.030588,-6.030588,-6.030588,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,13,p50,-0.865042,-0.865042,-0.865042,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,13,p75,12.482773,12.482773,12.482773,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,13,p90,43.121597,43.121597,43.121597,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,13,max,341.487395,341.487395,341.487395,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,14,min,-15.907563,-15.907563,-15.907563,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,14,p25,-5.292689,-5.292689,-5.292689,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,DL,14,p50,0.540672,0.540672,0.540672,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,DL,14,p75,15.028739,15.028739,15.028739,0.0,0.0,0.0,0.0,119,119,119
